Product_ID,Customer_ID,Customer_rank
3359321,1953966,1
3697561,319114,4
2291926,4417759,5
1888551,4646,4
2072,3880,2
1166445,1210685,5
2623838,884070,4
3668700,2134394,5
333347,442120,1
551999,1094419,5
3821300,1236,4
1994356,1548960,5
1618610,18602,4
2843918,5383653,3
1487535,1038891,3
3720521,1214577,4
2286249,4404051,5
1472870,2869089,4
515053,20785,4
2604399,1727,5
1897252,927212,4
1195628,33018,3
911344,1272354,3
1224356,1605335,2
2346848,1373458,4
2638006,5006055,2
3672830,51,5
3832850,5217415,4
2976246,1273971,5
1925903,81824,5
476364,17,4
2726437,182290,5
691292,1367659,3
3762633,469493,4
3332847,6258471,5
755832,9176,5
2873738,1560576,5
2187689,522771,1
3697225,7021428,5
2538032,321127,4
3618188,1959156,4
1520869,2969864,3
483406,141859,3
1303869,525828,4
131789,257301,4
254093,502072,5
3174178,17,5
791679,1569398,3
3763053,29115,4
1681393,2333,3
3800209,40891,4
3823547,248799,5
1571724,1730736,4
695184,16126,3
3120544,5909735,5
3622871,68095,3
3191041,6027106,4
3824205,37237,4
2092713,231969,2
153083,4575,3
1402569,2761184,5
1405152,229,4
1880382,2412692,1
3174283,5821,5
1952930,3820633,2
2814266,5326952,4
2265620,97454,5
3030216,689061,3
1087261,525034,4
2072,4200,1
483406,345443,3
1694371,3304113,4
950999,47596,5
603225,1522,2
542626,1075852,5
2473779,296695,4
2899953,16523,5
983605,1949159,5
1068494,2108345,5
1687385,3288522,5
557095,1105647,4
1897252,193839,3
2767303,4519,4
3118073,25905,5
197477,124374,3
2980145,35080,4
1296876,245357,3
1911511,373766,2
2171897,591393,3
2892141,82817,4
892584,252754,3
957873,814341,5
1595111,580527,4
3674699,473639,3
1244852,27405,5
1213436,2218,4
1337175,1003888,4
3812438,17321,3
1167803,2300240,2
3754044,85717,2
3812746,3197197,5
1203188,723220,4
2529807,4789427,5
2765280,362882,5
513240,75213,5
3144561,728379,4
3769248,604,2
3814356,694231,5
796810,394381,5
3812802,1161954,5
1885800,314587,5
565586,100531,4
3621443,950082,4
2878610,164381,4
1643698,338039,2
228564,449120,4
2909389,205568,5
3092068,1719434,3
1203174,106640,4
1858486,5869,4
3820180,5290,5
1215109,2393964,5
1894074,3695097,4
3802078,64787,4
472101,41058,5
3766630,397264,5
2638006,5006588,2
3670072,6938242,4
3134572,2305381,1
3639174,172014,5
2072,3315,1
3811304,11318,3
881601,33118,2
3832416,3343906,5
2557107,17,5
742714,315395,5
2605085,367979,4
3767288,7241289,1
187502,367605,5
498771,994515,4
569296,757512,5
2440025,34039,3
3033821,60182,4
1480066,50083,5
1945328,140077,3
1089249,856080,5
436968,10091,3
737569,14804,4
872018,396861,3
2224677,4298837,5
310583,458422,4
751338,160486,5
2327150,3226997,4
2089150,463804,4
326816,643380,2
956452,87747,5
1939637,1020106,4
1241611,1970163,3
987868,1780923,4
990528,9459,3
1097131,209535,3
3833466,1303032,1
3835328,3741,2
144634,5216,3
1756321,1079523,4
1135981,641139,2
207613,7708,3
525210,1042882,4
3781379,189781,5
807996,2017,3
322168,635210,1
289156,6954,5
3158302,896910,2
1244852,2447039,5
961807,1906839,5
